time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00025 16959 8390 181 1 6.94404e+06 180 
2.00056 16906 8337 234 0 6.93492e+06 234 
3.00072 16878 8309 262 0 6.92714e+06 262 
4.00089 16835 8266 305 1 6.92025e+06 304 
5.00103 16812 8243 328 0 6.91415e+06 328 
6.00135 16794 8225 346 0 6.90825e+06 346 
7.00162 16766 8197 374 0 6.90319e+06 374 
8.00173 16751 8182 389 1 6.89815e+06 388 
9.00175 16725 8156 415 1 6.89345e+06 414 
10.0018 16711 8142 429 1 6.88916e+06 428 
11.002 16704 8135 436 0 6.8848e+06 436 
12.002 16696 8127 444 0 6.88069e+06 444 
13.0021 16680 8111 460 0 6.87646e+06 460 
14.0025 16666 8097 474 0 6.87256e+06 474 
15.0025 16659 8090 481 1 6.86862e+06 480 
16.0027 16648 8079 492 0 6.86486e+06 492 
17.0028 16641 8072 499 1 6.86125e+06 498 
18.0032 16636 8067 504 0 6.85755e+06 504 
19.0036 16628 8059 512 0 6.854e+06 512 
20.0036 16621 8052 519 1 6.85036e+06 518 
21.0039 16612 8043 528 0 6.84702e+06 528 
22.0042 16602 8033 538 0 6.84363e+06 538 
23.0042 16595 8026 545 1 6.8402e+06 544 
24.0052 16590 8021 550 0 6.83679e+06 550 
25.0053 16582 8013 558 0 6.83361e+06 558 
26.0062 16576 8007 564 0 6.83034e+06 564 
27.0064 16570 8001 570 0 6.82714e+06 570 
28.0064 16564 7995 576 2 6.82391e+06 574 
29.0078 16550 7981 590 0 6.82077e+06 590 
30.0079 16542 7973 598 0 6.8176e+06 598 
31.0079 16532 7963 608 0 6.81461e+06 608 
32.0079 16523 7954 617 1 6.81171e+06 616 
33.0079 16519 7950 621 1 6.80879e+06 620 
34.0081 16516 7947 624 0 6.80580e+06 624 
35.0081 16513 7944 627 1 6.80304e+06 626 
36.0083 16508 7939 632 0 6.80025e+06 632 
37.0084 16502 7933 638 0 6.79756e+06 638 
38.0096 16496 7927 644 0 6.79477e+06 644 
39.0099 16496 7927 644 0 6.79193e+06 644 
40.0104 16492 7923 648 0 6.7892e+06 648 
41.0106 16486 7917 654 0 6.78642e+06 654 
42.0107 16478 7909 662 0 6.78362e+06 662 
43.0107 16474 7905 666 0 6.781e+06 666 
44.0109 16470 7901 670 0 6.77828e+06 670 
45.011 16460 7891 680 0 6.77559e+06 680 
46.0111 16449 7880 691 1 6.77296e+06 690 
47.0113 16450 7881 690 0 6.7704e+06 690 
48.0113 16447 7878 693 1 6.76771e+06 692 
49.0114 16441 7872 699 1 6.76529e+06 698 
50.0115 16438 7869 702 0 6.76286e+06 702 
51.0116 16428 7859 712 2 6.76028e+06 710 
52.012 16426 7857 714 0 6.75777e+06 714 
53.0125 16426 7857 714 0 6.75525e+06 714 
54.0134 16422 7853 718 0 6.75283e+06 718 
55.014 16416 7847 724 0 6.75041e+06 724 
56.0146 16408 7839 732 0 6.74810e+06 732 
57.0146 16404 7835 736 0 6.74564e+06 736 
58.0147 16401 7832 739 1 6.74332e+06 738 
59.0149 16400 7831 740 0 6.74086e+06 740 
60.0149 16399 7830 741 1 6.73863e+06 740 
61.0155 16398 7829 742 0 6.73629e+06 742 
62.0156 16386 7817 754 0 6.73404e+06 754 
63.0159 16384 7815 756 0 6.73178e+06 756 
64.0161 16379 7810 761 1 6.7294e+06 760 
65.0164 16378 7809 762 0 6.727e+06 762 
66.0169 16376 7807 764 0 6.72471e+06 764 
67.0174 16372 7803 768 0 6.72238e+06 768 
68.0182 16370 7801 770 0 6.72017e+06 770 
69.0183 16368 7799 772 0 6.71787e+06 772 
70.0183 16364 7795 776 0 6.71566e+06 776 
71.0184 16361 7792 779 1 6.71347e+06 778 
72.0187 16360 7791 780 0 6.71136e+06 780 
73.0187 16356 7787 784 0 6.70924e+06 784 
74.0188 16356 7787 784 0 6.707e+06 784 
75.019 16352 7783 788 0 6.70490e+06 788 
76.019 16348 7779 792 2 6.70274e+06 790 
77.0191 16341 7772 799 1 6.70068e+06 798 
78.0194 16338 7769 802 0 6.69853e+06 802 
79.0198 16330 7761 810 0 6.69627e+06 810 
80.0198 16327 7758 813 1 6.69424e+06 812 
81.02 16326 7757 814 0 6.69208e+06 814 
82.02 16321 7752 819 1 6.69005e+06 818 
83.0204 16322 7753 818 0 6.68803e+06 818 
84.0205 16322 7753 818 0 6.68586e+06 818 
85.0207 16320 7751 820 0 6.6837e+06 820 
86.0208 16318 7749 822 0 6.68163e+06 822 
87.0208 16315 7746 825 1 6.67952e+06 824 
88.021 16312 7743 828 0 6.67731e+06 828 
89.021 16310 7741 830 0 6.67538e+06 830 
90.0216 16308 7739 832 0 6.67331e+06 832 
91.0216 16305 7736 835 1 6.67136e+06 834 
92.0216 16304 7735 836 0 6.66943e+06 836 
93.0216 16301 7732 839 1 6.66739e+06 838 
94.0218 16300 7731 840 0 6.6653e+06 840 
95.0219 16298 7729 842 0 6.66331e+06 842 
96.022 16295 7726 845 1 6.66128e+06 844 
97.022 16293 7724 847 1 6.65923e+06 846 
98.022 16290 7721 850 2 6.65721e+06 848 
99.0221 16288 7719 852 0 6.65518e+06 852 
100.023 16286 7717 854 0 6.65325e+06 854 
101.023 16284 7715 856 0 6.65132e+06 856 
102.023 16282 7713 858 0 6.64941e+06 858 
103.023 16280 7711 860 0 6.64746e+06 860 
104.023 16275 7706 865 1 6.64553e+06 864 
105.024 16273 7704 867 1 6.64358e+06 866 
106.024 16267 7698 873 1 6.64166e+06 872 
107.024 16263 7694 877 1 6.6397e+06 876 
108.024 16256 7687 884 2 6.63768e+06 882 
109.024 16256 7687 884 0 6.63578e+06 884 
110.024 16251 7682 889 1 6.63394e+06 888 
111.024 16250 7681 890 0 6.63207e+06 890 
112.024 16246 7677 894 0 6.63023e+06 894 
113.025 16246 7677 894 0 6.6283e+06 894 
114.025 16244 7675 896 0 6.62639e+06 896 
115.025 16242 7673 898 0 6.6246e+06 898 
116.026 16242 7673 898 0 6.62273e+06 898 
117.026 16242 7673 898 0 6.62092e+06 898 
118.026 16242 7673 898 0 6.61912e+06 898 
119.027 16238 7669 902 0 6.61721e+06 902 
120.027 16236 7667 904 0 6.61533e+06 904 
121.027 16234 7665 906 0 6.61353e+06 906 
122.027 16230 7661 910 2 6.6117e+06 908 
123.027 16230 7661 910 0 6.60989e+06 910 
124.028 16230 7661 910 0 6.60808e+06 910 
125.028 16226 7657 914 2 6.60628e+06 912 
126.028 16226 7657 914 0 6.60452e+06 914 
127.028 16226 7657 914 0 6.60268e+06 914 
128.028 16220 7651 920 0 6.60085e+06 920 
129.028 16212 7643 928 2 6.59918e+06 926 
130.028 16209 7640 931 1 6.59744e+06 930 
131.029 16208 7639 932 0 6.59568e+06 932 
132.029 16206 7637 934 0 6.59389e+06 934 
133.029 16204 7635 936 0 6.5921e+06 936 
134.029 16204 7635 936 0 6.59034e+06 936 
135.029 16198 7629 942 0 6.58858e+06 942 
136.03 16198 7629 942 0 6.58684e+06 942 
137.03 16192 7623 948 0 6.58514e+06 948 
138.03 16192 7623 948 0 6.58342e+06 948 
139.03 16192 7623 948 0 6.5817e+06 948 
140.03 16189 7620 951 1 6.57996e+06 950 
141.03 16189 7620 951 1 6.57816e+06 950 
142.031 16190 7621 950 0 6.57643e+06 950 
143.032 16190 7621 950 0 6.57479e+06 950 
144.032 16186 7617 954 0 6.57316e+06 954 
145.032 16185 7616 955 1 6.57149e+06 954 
146.032 16180 7611 960 0 6.56975e+06 960 
147.032 16178 7609 962 0 6.56808e+06 962 
148.032 16177 7608 963 1 6.56642e+06 962 
149.032 16178 7609 962 0 6.56479e+06 962 
150.033 16176 7607 964 0 6.56304e+06 964 
151.033 16176 7607 964 0 6.56128e+06 964 
152.033 16176 7607 964 0 6.55966e+06 964 
153.033 16173 7604 967 1 6.5578e+06 966 
154.033 16174 7605 966 0 6.55614e+06 966 
155.033 16169 7600 971 1 6.55451e+06 970 
156.033 16170 7601 970 0 6.55289e+06 970 
157.034 16166 7597 974 0 6.55127e+06 974 
158.034 16165 7596 975 1 6.54965e+06 974 
159.034 16164 7595 976 0 6.54787e+06 976 
160.034 16160 7591 980 0 6.54635e+06 980 
161.034 16158 7589 982 0 6.54462e+06 982 
162.034 16156 7587 984 0 6.54303e+06 984 
163.034 16156 7587 984 0 6.54144e+06 984 
164.034 16153 7584 987 1 6.53989e+06 986 
165.034 16153 7584 987 1 6.53822e+06 986 
166.034 16154 7585 986 0 6.5367e+06 986 
167.034 16151 7582 989 1 6.5351e+06 988 
168.034 16148 7579 992 0 6.53347e+06 992 
169.034 16148 7579 992 0 6.53196e+06 992 
