time	conversion
1.00025	0.00229267
2.00056	0.00360417
3.00072	0.00472112
4.00089	0.00571164
5.00103	0.00658822
6.00135	0.00743592
7.00162	0.00816178
8.00173	0.00888635
9.00175	0.00956121
10.0018	0.0101784
11.002	0.0108045
12.002	0.0113954
13.0021	0.0120033
14.0025	0.0125639
15.0025	0.0131289
16.0027	0.013669
17.0028	0.0141881
18.0032	0.0147201
19.0036	0.0152295
20.0036	0.0157526
21.0039	0.0162322
22.0042	0.0167195
23.0042	0.0172128
24.0052	0.0177027
25.0053	0.0181595
26.0062	0.0186289
27.0064	0.0190897
28.0064	0.0195526
29.0078	0.0200042
30.0079	0.0204603
31.0079	0.0208888
32.0079	0.0213055
33.0079	0.021725
34.0081	0.0221545
35.0081	0.0225514
36.0083	0.0229522
37.0084	0.0233384
38.0096	0.0237401
39.0099	0.0241477
40.0104	0.0245408
41.0106	0.0249392
42.0107	0.0253412
43.0107	0.0257182
44.0109	0.0261091
45.011	0.0264954
46.0111	0.0268743
47.0113	0.027242
48.0113	0.0276282
49.0114	0.0279756
50.0115	0.0283251
51.0116	0.0286951
52.012	0.0290559
53.0125	0.029418
54.0134	0.0297652
55.014	0.0301136
56.0146	0.0304447
57.0146	0.0307987
58.0147	0.031132
59.0149	0.0314858
60.0149	0.0318063
61.0155	0.0321424
62.0156	0.0324652
63.0159	0.0327907
64.0161	0.0331325
65.0164	0.0334764
66.0169	0.033806
67.0174	0.0341405
68.0182	0.0344586
69.0183	0.0347888
70.0183	0.0351069
71.0184	0.035421
72.0187	0.0357244
73.0187	0.0360283
74.0188	0.0363503
75.019	0.0366516
76.019	0.0369625
77.0191	0.037258
78.0194	0.0375678
79.0198	0.0378922
80.0198	0.0381842
81.02	0.038495
82.02	0.0387859
83.0204	0.0390766
84.0205	0.0393876
85.0207	0.0396981
86.0208	0.0399963
87.0208	0.0402994
88.021	0.0406161
89.021	0.0408934
90.0216	0.0411912
91.0216	0.0414708
92.0216	0.0417481
93.0216	0.0420415
94.0218	0.0423421
95.0219	0.0426274
96.022	0.042919
97.022	0.0432136
98.022	0.0435045
99.0221	0.043796
100.023	0.0440728
101.023	0.044351
102.023	0.0446256
103.023	0.0449046
104.023	0.0451826
105.024	0.0454626
106.024	0.0457381
107.024	0.0460197
108.024	0.0463109
109.024	0.046583
110.024	0.0468474
111.024	0.0471159
112.024	0.0473807
113.025	0.0476583
114.025	0.0479325
115.025	0.0481902
116.026	0.0484579
117.026	0.0487187
118.026	0.0489774
119.027	0.0492514
120.027	0.049521
121.027	0.0497797
122.027	0.0500425
123.027	0.0503034
124.028	0.0505638
125.028	0.0508216
126.028	0.0510754
127.028	0.0513395
128.028	0.0516016
129.028	0.0518425
130.028	0.0520914
131.029	0.0523448
132.029	0.0526026
133.029	0.0528589
134.029	0.0531119
135.029	0.0533644
136.03	0.0536154
137.03	0.0538598
138.03	0.0541066
139.03	0.0543542
140.03	0.0546032
141.03	0.0548615
142.031	0.0551111
143.032	0.0553464
144.032	0.0555799
145.032	0.0558198
146.032	0.056071
147.032	0.0563106
148.032	0.0565487
149.032	0.0567835
150.033	0.0570348
151.033	0.0572875
152.033	0.0575205
153.033	0.0577876
154.033	0.0580253
155.033	0.0582605
156.033	0.0584925
157.034	0.0587251
158.034	0.0589586
159.034	0.0592142
160.034	0.0594328
161.034	0.0596813
162.034	0.0599095
163.034	0.0601386
164.034	0.0603611
165.034	0.0606
166.034	0.0608197
167.034	0.0610494
168.034	0.0612832
169.034	0.0615001
170.035	0.0617312
171.035	0.0619588
172.035	0.0621746
173.035	0.0624175
174.035	0.062652
175.035	0.0628924
176.036	0.0631361
177.036	0.0633622
178.036	0.0635976
179.036	0.0638223
