time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00204 42 21 1 1 69577 0 
2.02761 43 22 0 0 69577 0 
3.27336 43 22 0 0 69567 0 
4.93786 43 22 0 0 69567 0 
6.11468 43 22 0 0 69523 0 
7.20656 43 22 0 0 69522 0 
8.29695 43 22 0 0 69509 0 
9.44016 43 22 0 0 69495 0 
10.6129 43 22 0 0 69490 0 
11.6136 42 21 1 1 69483 0 
12.7798 43 22 0 0 69466 0 
13.7989 42 21 1 1 69449 0 
14.9132 43 22 0 0 69439 0 
16.2062 43 22 0 0 69433 0 
17.3568 43 22 0 0 69420 0 
19.0197 43 22 0 0 69405 0 
20.0541 43 22 0 0 69386 0 
21.2354 43 22 0 0 69383 0 
22.3732 43 22 0 0 69365 0 
24.2705 43 22 0 0 69362 0 
25.674 43 22 0 0 69354 0 
26.9078 43 22 0 0 69337 0 
27.9279 42 21 1 1 69295 0 
28.9666 43 22 0 0 69263 0 
30.6681 43 22 0 0 69243 0 
31.9722 43 22 0 0 69238 0 
33.8594 43 22 0 0 69233 0 
35.2476 43 22 0 0 69220 0 
37.2931 43 22 0 0 69219 0 
38.3514 43 22 0 0 69199 0 
40.475 43 22 0 0 69197 0 
41.9265 43 22 0 0 69193 0 
42.9295 42 21 1 1 69175 0 
44.6977 43 22 0 0 69158 0 
45.7456 43 22 0 0 69144 0 
48.3997 43 22 0 0 69133 0 
51.2656 43 22 0 0 69124 0 
52.3875 43 22 0 0 69086 0 
53.7721 43 22 0 0 69065 0 
54.8963 43 22 0 0 69057 0 
56.0479 43 22 0 0 69030 0 
57.1072 43 22 0 0 68995 0 
58.3911 43 22 0 0 68978 0 
59.8198 43 22 0 0 68957 0 
61.4165 43 22 0 0 68952 0 
62.6474 43 22 0 0 68927 0 
63.6578 43 22 0 0 68909 0 
65.1114 43 22 0 0 68881 0 
66.1625 43 22 0 0 68863 0 
67.6507 43 22 0 0 68825 0 
69.1771 43 22 0 0 68796 0 
70.9695 43 22 0 0 68770 0 
72.2657 43 22 0 0 68763 0 
74.1696 43 22 0 0 68728 0 
75.3603 43 22 0 0 68713 0 
76.6903 43 22 0 0 68699 0 
78.2592 43 22 0 0 68699 0 
80.2016 43 22 0 0 68684 0 
82.3013 43 22 0 0 68666 0 
83.3056 42 21 1 1 68653 0 
84.8942 43 22 0 0 68628 0 
86.2132 43 22 0 0 68613 0 
87.4607 43 22 0 0 68576 0 
88.5025 43 22 0 0 68561 0 
90.1495 43 22 0 0 68537 0 
91.4039 43 22 0 0 68516 0 
93.2836 43 22 0 0 68497 0 
94.2948 42 21 1 1 68473 0 
95.9254 43 22 0 0 68466 0 
96.9637 43 22 0 0 68451 0 
98.2649 43 22 0 0 68430 0 
100.1 43 22 0 0 68412 0 
101.126 43 22 0 0 68397 0 
103.268 43 22 0 0 68379 0 
104.764 43 22 0 0 68360 0 
105.97 43 22 0 0 68330 0 
107.367 43 22 0 0 68318 0 
108.625 43 22 0 0 68314 0 
109.87 43 22 0 0 68293 0 
110.877 42 21 1 1 68274 0 
111.883 42 21 1 1 68247 0 
112.923 42 21 1 1 68224 0 
113.981 42 21 1 1 68220 0 
115.254 43 22 0 0 68216 0 
116.459 43 22 0 0 68212 0 
117.469 43 22 0 0 68195 0 
118.697 42 21 1 1 68186 0 
119.76 42 21 1 1 68180 0 
120.798 43 22 0 0 68178 0 
121.956 43 22 0 0 68162 0 
122.974 40 19 3 3 68146 0 
123.976 41 20 2 2 68137 0 
125.05 43 22 0 0 68127 0 
126.081 42 21 1 1 68109 0 
127.091 42 21 1 1 68098 0 
128.1 42 21 1 1 68091 0 
129.118 42 21 1 1 68088 0 
130.381 43 22 0 0 68083 0 
131.402 42 21 1 1 68073 0 
132.41 42 21 1 1 68072 0 
133.487 43 22 0 0 68071 0 
134.527 42 21 1 1 68054 0 
135.559 42 21 1 1 68036 0 
137.813 43 22 0 0 68025 0 
138.814 42 21 1 1 68010 0 
140.236 43 22 0 0 68000 0 
141.261 42 21 1 1 67986 0 
143.265 43 22 0 0 67984 0 
144.372 42 21 1 1 67972 0 
146.003 43 22 0 0 67967 0 
147.035 42 21 1 1 67948 0 
148.062 42 21 1 1 67928 0 
150.018 43 22 0 0 67918 0 
151.026 41 20 2 2 67907 0 
152.101 42 21 1 1 67903 0 
153.278 42 21 1 1 67885 0 
154.394 42 21 1 1 67871 0 
155.413 43 22 0 0 67869 0 
156.872 43 22 0 0 67864 0 
157.931 42 21 1 1 67860 0 
159.02 43 22 0 0 67859 0 
160.041 42 21 1 1 67851 0 
161.2 42 21 1 1 67840 0 
162.219 41 20 2 2 67822 0 
163.247 42 21 1 1 67816 0 
164.537 42 21 1 1 67805 0 
165.547 41 20 2 2 67786 0 
166.597 42 21 1 1 67781 0 
167.682 43 22 0 0 67775 0 
168.781 43 22 0 0 67762 0 
169.861 42 21 1 1 67743 0 
171.001 42 21 1 1 67733 0 
172.013 41 20 2 2 67722 0 
173.018 41 20 2 2 67709 0 
174.664 43 22 0 0 67696 0 
175.73 42 21 1 1 67689 0 
176.804 42 21 1 1 67681 0 
177.828 40 19 3 3 67664 0 
178.835 41 20 2 2 67650 0 
180.044 42 21 1 1 67645 0 
181.1 41 20 2 2 67632 0 
182.258 43 22 0 0 67618 0 
183.268 42 21 1 1 67614 0 
184.296 41 20 2 2 67604 0 
185.315 42 21 1 1 67594 0 
186.465 42 21 1 1 67594 0 
187.522 41 20 2 2 67587 0 
188.552 43 22 0 0 67583 0 
189.566 42 21 1 1 67580 0 
190.596 41 20 2 2 67576 0 
191.727 42 21 1 1 67563 0 
192.957 43 22 0 0 67563 0 
194.014 42 21 1 1 67559 0 
195.02 42 21 1 1 67552 0 
196.13 42 21 1 1 67548 0 
197.13 41 20 2 2 67538 0 
198.148 42 21 1 1 67530 0 
199.192 41 20 2 2 67518 0 
200.255 42 21 1 1 67504 0 
201.301 42 21 1 1 67499 0 
202.515 43 22 0 0 67492 0 
203.516 42 21 1 1 67488 0 
204.527 41 20 2 2 67483 0 
205.776 43 22 0 0 67474 0 
206.813 42 21 1 1 67472 0 
207.937 42 21 1 1 67469 0 
209.131 43 22 0 0 67467 0 
211.156 43 22 0 0 67464 0 
212.227 42 21 1 1 67457 0 
214.05 43 22 0 0 67453 0 
215.113 41 20 2 2 67450 0 
216.263 43 22 0 0 67444 0 
217.339 41 20 2 2 67423 0 
218.599 43 22 0 0 67414 0 
219.673 42 21 1 1 67410 0 
220.676 41 20 2 2 67403 0 
221.699 42 21 1 1 67393 0 
222.785 40 19 3 3 67365 0 
223.824 41 20 2 2 67353 0 
224.931 42 21 1 1 67336 0 
226.108 42 21 1 1 67330 0 
227.223 42 21 1 1 67323 0 
228.576 42 21 1 1 67321 0 
229.714 42 21 1 1 67312 0 
230.764 41 20 2 2 67299 0 
231.855 41 20 2 2 67286 0 
233.021 42 21 1 1 67274 0 
234.11 42 21 1 1 67258 0 
235.669 42 21 1 1 67250 0 
236.72 42 21 1 1 67245 0 
237.75 41 20 2 2 67238 0 
238.761 41 20 2 2 67225 0 
239.798 40 19 3 3 67215 0 
240.85 41 20 2 2 67205 0 
241.853 40 19 3 3 67198 0 
242.918 42 21 1 1 67190 0 
244.256 42 21 1 1 67183 0 
245.274 41 20 2 2 67172 0 
246.627 42 21 1 1 67169 0 
248.132 42 21 1 1 67166 0 
249.421 42 21 1 1 67157 0 
250.476 41 20 2 2 67150 0 
251.534 41 20 2 2 67144 0 
252.648 43 22 0 0 67137 0 
254.014 42 21 1 1 67135 0 
255.149 39 18 4 4 67128 0 
256.157 41 20 2 2 67117 0 
257.177 42 21 1 1 67105 0 
258.181 41 20 2 2 67102 0 
259.451 43 22 0 0 67096 0 
260.47 39 18 4 4 67091 0 
261.727 42 21 1 1 67083 0 
262.747 41 20 2 2 67073 0 
263.778 41 20 2 2 67069 0 
264.805 42 21 1 1 67063 0 
265.812 42 21 1 1 67053 0 
267.046 42 21 1 1 67047 0 
268.186 41 20 2 2 67044 0 
269.244 42 21 1 1 67042 0 
270.263 42 21 1 1 67037 0 
271.282 42 21 1 1 67037 0 
272.349 41 20 2 2 67033 0 
273.502 42 21 1 1 67030 0 
274.521 41 20 2 2 67022 0 
275.591 42 21 1 1 67019 0 
277.156 43 22 0 0 67015 0 
278.33 43 22 0 0 67011 0 
279.394 41 20 2 2 66999 0 
280.437 40 19 3 3 66988 0 
281.552 42 21 1 1 66984 0 
282.607 41 20 2 2 66972 0 
283.61 41 20 2 2 66958 0 
284.999 42 21 1 1 66953 0 
286.007 39 18 4 4 66946 0 
287.32 42 21 1 1 66935 0 
288.462 42 21 1 1 66930 0 
289.474 40 19 3 3 66924 0 
290.499 41 20 2 2 66915 0 
291.574 42 21 1 1 66909 0 
292.813 41 20 2 2 66907 0 
294.221 43 22 0 0 66894 0 
295.254 41 20 2 2 66890 0 
296.338 42 21 1 1 66887 0 
297.367 41 20 2 2 66881 0 
298.436 41 20 2 2 66877 0 
299.468 42 21 1 1 66873 0 
300.533 42 21 1 1 66863 0 
301.71 41 20 2 2 66855 0 
302.774 42 21 1 1 66850 0 
303.866 42 21 1 1 66847 0 
304.941 42 21 1 1 66843 0 
306.161 42 21 1 1 66839 0 
307.167 41 20 2 2 66832 0 
308.217 43 22 0 0 66829 0 
309.388 41 20 2 2 66824 0 
310.445 41 20 2 2 66812 0 
311.499 42 21 1 1 66802 0 
312.614 42 21 1 1 66793 0 
313.641 41 20 2 2 66785 0 
314.948 42 21 1 1 66779 0 
316.002 41 20 2 2 66763 0 
317.084 43 22 0 0 66758 0 
318.122 42 21 1 1 66757 0 
319.123 42 21 1 1 66755 0 
320.434 42 21 1 1 66753 0 
321.583 42 21 1 1 66743 0 
322.625 38 17 5 5 66736 0 
323.755 42 21 1 1 66721 0 
324.996 42 21 1 1 66716 0 
326.02 41 20 2 2 66712 0 
327.026 40 19 3 3 66700 0 
328.122 42 21 1 1 66695 0 
329.126 41 20 2 2 66691 0 
330.178 42 21 1 1 66681 0 
331.307 42 21 1 1 66673 0 
332.47 42 21 1 1 66668 0 
333.528 42 21 1 1 66667 0 
334.534 42 21 1 1 66659 0 
335.588 41 20 2 2 66653 0 
336.737 42 21 1 1 66646 0 
337.989 43 22 0 0 66645 0 
339.012 40 19 3 3 66642 0 
340.11 42 21 1 1 66628 0 
341.143 41 20 2 2 66620 0 
342.394 42 21 1 1 66608 0 
343.639 42 21 1 1 66604 0 
344.716 42 21 1 1 66599 0 
