time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00828 1706 850 8 0 6.95677e+06 8 
2.01721 1706 850 8 0 6.95549e+06 8 
3.01722 1702 846 12 2 6.95356e+06 10 
4.03137 1704 848 10 0 6.95122e+06 10 
5.03335 1704 848 10 0 6.94919e+06 10 
6.06452 1700 844 14 0 6.9471e+06 14 
7.08698 1700 844 14 0 6.9458e+06 14 
8.08711 1697 841 17 1 6.94455e+06 16 
9.09202 1698 842 16 0 6.94339e+06 16 
10.1047 1698 842 16 0 6.94227e+06 16 
11.1428 1696 840 18 0 6.94149e+06 18 
12.1474 1696 840 18 0 6.94044e+06 18 
13.1778 1696 840 18 0 6.93920e+06 18 
14.2077 1696 840 18 0 6.93813e+06 18 
15.2654 1696 840 18 0 6.93714e+06 18 
16.2834 1694 838 20 0 6.93594e+06 20 
17.2835 1693 837 21 1 6.93482e+06 20 
18.2991 1694 838 20 0 6.93396e+06 20 
19.3326 1694 838 20 0 6.93303e+06 20 
20.3557 1694 838 20 0 6.93211e+06 20 
21.4021 1692 836 22 0 6.93148e+06 22 
22.4146 1692 836 22 0 6.93052e+06 22 
23.428 1692 836 22 0 6.92947e+06 22 
24.4889 1690 834 24 0 6.92844e+06 24 
25.4984 1690 834 24 0 6.92781e+06 24 
26.4984 1690 834 24 0 6.92678e+06 24 
27.5016 1690 834 24 0 6.92615e+06 24 
28.5264 1688 832 26 0 6.92557e+06 26 
29.5457 1686 830 28 0 6.92479e+06 28 
30.5466 1686 830 28 0 6.92409e+06 28 
31.5834 1686 830 28 0 6.92331e+06 28 
32.5834 1685 829 29 1 6.92264e+06 28 
33.622 1686 830 28 0 6.92197e+06 28 
34.6267 1686 830 28 0 6.92101e+06 28 
35.6685 1686 830 28 0 6.9205e+06 28 
36.6988 1686 830 28 0 6.91985e+06 28 
37.7046 1686 830 28 0 6.91926e+06 28 
38.7258 1686 830 28 0 6.91851e+06 28 
39.7586 1686 830 28 0 6.91759e+06 28 
40.7934 1686 830 28 0 6.91703e+06 28 
41.8269 1686 830 28 0 6.91629e+06 28 
42.8269 1685 829 29 1 6.91568e+06 28 
43.8479 1686 830 28 0 6.91481e+06 28 
44.8804 1684 828 30 0 6.91428e+06 30 
45.9102 1684 828 30 0 6.91365e+06 30 
46.9133 1684 828 30 0 6.91326e+06 30 
47.917 1684 828 30 0 6.91268e+06 30 
48.9358 1684 828 30 0 6.91193e+06 30 
49.9368 1684 828 30 0 6.91149e+06 30 
50.9382 1684 828 30 0 6.91079e+06 30 
51.9714 1684 828 30 0 6.91021e+06 30 
52.9715 1683 827 31 1 6.90958e+06 30 
53.9966 1684 828 30 0 6.90902e+06 30 
55.0495 1684 828 30 0 6.90832e+06 30 
56.0741 1684 828 30 0 6.90754e+06 30 
57.0752 1684 828 30 0 6.90694e+06 30 
58.0921 1684 828 30 0 6.90624e+06 30 
59.1025 1684 828 30 0 6.90571e+06 30 
60.13 1684 828 30 0 6.90516e+06 30 
61.1509 1684 828 30 0 6.90436e+06 30 
62.1793 1684 828 30 0 6.90364e+06 30 
63.1833 1684 828 30 0 6.90289e+06 30 
64.1833 1683 827 31 1 6.90234e+06 30 
65.1884 1682 826 32 0 6.9016e+06 32 
66.205 1680 824 34 0 6.90083e+06 34 
67.2243 1680 824 34 0 6.90022e+06 34 
68.2341 1680 824 34 0 6.89986e+06 34 
69.3208 1680 824 34 0 6.89949e+06 34 
70.3232 1680 824 34 0 6.89892e+06 34 
71.3348 1680 824 34 0 6.89848e+06 34 
