time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00427 172 87 0 0 69415 0 
2.0044 170 85 2 2 69211 0 
3.03502 172 87 0 0 69045 0 
4.06485 172 87 0 0 68870 0 
5.07585 172 87 0 0 68694 0 
6.07844 168 83 4 0 68598 4 
7.1019 168 83 4 0 68568 4 
8.12293 168 83 4 0 68530 4 
9.13471 168 83 4 0 68479 4 
10.1769 166 81 6 0 68433 6 
11.185 166 81 6 0 68415 6 
12.2355 166 81 6 0 68393 6 
13.2387 166 81 6 0 68365 6 
14.2408 166 81 6 0 68335 6 
15.2439 166 81 6 0 68309 6 
16.2617 166 81 6 0 68293 6 
17.2813 166 81 6 0 68275 6 
18.3165 166 81 6 0 68261 6 
19.3178 166 81 6 0 68231 6 
20.326 166 81 6 0 68212 6 
21.3814 166 81 6 0 68186 6 
22.3896 166 81 6 0 68163 6 
23.4071 166 81 6 0 68136 6 
24.4202 166 81 6 0 68095 6 
25.4881 166 81 6 0 68060 6 
26.4979 166 81 6 0 68028 6 
27.5302 166 81 6 0 67984 6 
28.5905 166 81 6 0 67961 6 
29.6377 166 81 6 0 67939 6 
30.6394 166 81 6 0 67921 6 
31.6576 166 81 6 0 67894 6 
32.6877 166 81 6 0 67865 6 
33.6879 165 80 7 1 67842 6 
34.7086 166 81 6 0 67819 6 
35.7107 166 81 6 0 67790 6 
36.718 166 81 6 0 67759 6 
37.7225 166 81 6 0 67721 6 
38.7308 166 81 6 0 67681 6 
39.7466 166 81 6 0 67667 6 
40.7714 166 81 6 0 67638 6 
41.7886 166 81 6 0 67611 6 
42.8065 166 81 6 0 67588 6 
43.8117 166 81 6 0 67565 6 
44.8154 166 81 6 0 67540 6 
45.8707 166 81 6 0 67515 6 
46.8994 166 81 6 0 67487 6 
47.9006 166 81 6 0 67467 6 
48.9282 166 81 6 0 67427 6 
49.9348 166 81 6 0 67384 6 
50.9373 166 81 6 0 67357 6 
51.9682 166 81 6 0 67331 6 
52.9765 166 81 6 0 67311 6 
54.0059 166 81 6 0 67286 6 
55.0558 166 81 6 0 67261 6 
56.0654 166 81 6 0 67233 6 
57.0686 166 81 6 0 67206 6 
58.0918 166 81 6 0 67189 6 
59.1146 166 81 6 0 67157 6 
60.1175 166 81 6 0 67125 6 
61.1623 166 81 6 0 67100 6 
62.2012 166 81 6 0 67068 6 
63.2149 166 81 6 0 67045 6 
64.2341 166 81 6 0 67015 6 
65.2692 166 81 6 0 66989 6 
66.2858 166 81 6 0 66968 6 
67.3199 166 81 6 0 66940 6 
68.3431 166 81 6 0 66917 6 
69.3652 166 81 6 0 66889 6 
70.4221 166 81 6 0 66861 6 
71.4272 166 81 6 0 66846 6 
72.4326 166 81 6 0 66819 6 
73.4352 166 81 6 0 66779 6 
74.4651 166 81 6 0 66730 6 
75.4875 166 81 6 0 66714 6 
76.4939 166 81 6 0 66685 6 
77.5036 166 81 6 0 66665 6 
78.5036 166 81 6 0 66644 6 
79.5044 166 81 6 0 66620 6 
80.5217 166 81 6 0 66601 6 
81.5578 166 81 6 0 66584 6 
82.566 166 81 6 0 66552 6 
83.5704 166 81 6 0 66539 6 
84.596 166 81 6 0 66508 6 
85.5992 166 81 6 0 66482 6 
86.6144 166 81 6 0 66458 6 
87.6166 166 81 6 0 66444 6 
88.6274 166 81 6 0 66421 6 
89.641 166 81 6 0 66391 6 
90.7107 166 81 6 0 66363 6 
91.7179 166 81 6 0 66333 6 
92.7426 166 81 6 0 66303 6 
93.7429 166 81 6 0 66278 6 
94.7437 165 80 7 1 66254 6 
95.7609 166 81 6 0 66218 6 
96.781 166 81 6 0 66192 6 
97.7949 166 81 6 0 66166 6 
98.8047 166 81 6 0 66140 6 
99.8112 166 81 6 0 66118 6 
100.833 166 81 6 0 66103 6 
101.834 164 79 8 2 66079 6 
102.886 166 81 6 0 66059 6 
103.897 166 81 6 0 66043 6 
104.911 166 81 6 0 66018 6 
105.915 166 81 6 0 65998 6 
106.924 166 81 6 0 65983 6 
107.957 166 81 6 0 65967 6 
108.961 165 80 7 1 65938 6 
110.029 166 81 6 0 65919 6 
111.04 166 81 6 0 65895 6 
112.041 166 81 6 0 65869 6 
113.164 166 81 6 0 65847 6 
