time	conversion
1.00427	0.00265805
2.0044	0.00558908
3.03502	0.00797414
4.06485	0.0104885
5.07585	0.0130172
6.07844	0.0143966
7.1019	0.0148276
8.12293	0.0153736
9.13471	0.0161063
10.1769	0.0167672
11.185	0.0170259
12.2355	0.017342
13.2387	0.0177443
14.2408	0.0181753
15.2439	0.0185489
16.2617	0.0187787
17.2813	0.0190374
18.3165	0.0192385
19.3178	0.0196695
20.326	0.0199425
21.3814	0.0203161
22.3896	0.0206466
23.4071	0.0210345
24.4202	0.0216236
25.4881	0.0221264
26.4979	0.0225862
27.5302	0.0232184
28.5905	0.0235489
29.6377	0.0238649
30.6394	0.0241236
31.6576	0.0245115
32.6877	0.0249282
33.6879	0.0252586
34.7086	0.0255891
35.7107	0.0260057
36.718	0.0264511
37.7225	0.0269971
38.7308	0.0275718
39.7466	0.027773
40.7714	0.0281897
41.7886	0.0285776
42.8065	0.028908
43.8117	0.0292385
44.8154	0.0295977
45.8707	0.0299569
46.8994	0.0303592
47.9006	0.0306466
48.9282	0.0312213
49.9348	0.0318391
50.9373	0.032227
51.9682	0.0326006
52.9765	0.0328879
54.0059	0.0332471
55.0558	0.0336063
56.0654	0.0340086
57.0686	0.0343966
58.0918	0.0346408
59.1146	0.0351006
60.1175	0.0355603
61.1623	0.0359195
62.2012	0.0363793
63.2149	0.0367098
64.2341	0.0371408
65.2692	0.0375144
66.2858	0.0378161
67.3199	0.0382184
68.3431	0.0385489
69.3652	0.0389511
70.4221	0.0393534
71.4272	0.039569
72.4326	0.0399569
73.4352	0.0405316
74.4651	0.0412356
75.4875	0.0414655
76.4939	0.0418822
77.5036	0.0421695
78.5036	0.0424713
79.5044	0.0428161
80.5217	0.0430891
81.5578	0.0433333
82.566	0.0437931
83.5704	0.0439799
84.596	0.0444253
85.5992	0.0447989
86.6144	0.0451437
87.6166	0.0453448
88.6274	0.0456753
89.641	0.0461063
90.7107	0.0465086
91.7179	0.0469397
92.7426	0.0473707
93.7429	0.0477299
94.7437	0.0480747
95.7609	0.048592
96.781	0.0489655
97.7949	0.0493391
98.8047	0.0497126
99.8112	0.0500287
100.833	0.0502443
101.834	0.0505891
102.886	0.0508764
103.897	0.0511063
104.911	0.0514655
105.915	0.0517529
106.924	0.0519684
107.957	0.0521983
108.961	0.0526149
110.029	0.0528879
111.04	0.0532328
112.041	0.0536063
113.164	0.0539224
114.203	0.0544397
115.206	0.0548563
116.215	0.0550431
117.234	0.0553448
118.248	0.0558477
119.25	0.0561351
120.271	0.0563362
121.277	0.0568247
122.314	0.0571839
123.316	0.0573994
124.32	0.0579167
125.324	0.058204
126.341	0.0587069
127.369	0.0589799
128.376	0.0593534
129.448	0.0596695
130.466	0.0600575
131.492	0.0603305
132.493	0.060704
133.496	0.0610489
134.504	0.0615948
135.527	0.0620402
136.547	0.0622557
137.587	0.0625144
138.616	0.0631034
139.622	0.0633908
140.631	0.0636207
141.669	0.0639511
142.698	0.064569
143.727	0.0650431
144.727	0.0654023
145.774	0.0657328
146.801	0.0660489
147.802	0.0663218
148.804	0.0667241
149.854	0.0671695
150.861	0.0674138
151.865	0.0675287
152.878	0.0677443
153.88	0.0680172
154.882	0.0682902
155.909	0.0686063
156.933	0.0688649
157.946	0.069296
158.957	0.0693822
159.97	0.069569
160.996	0.0697989
162.021	0.0699856
163.026	0.0704741
164.04	0.0706753
165.062	0.0709483
166.068	0.0712069
167.069	0.0714943
168.082	0.0717241
169.173	0.0719971
170.176	0.0724425
171.177	0.0726293
172.182	0.0728448
173.182	0.0730172
174.182	0.0733477
175.183	0.0737069
176.188	0.074181
177.2	0.0743534
178.206	0.0745259
179.207	0.0748276
180.217	0.0750862
181.23	0.075158
182.236	0.0753305
183.252	0.0756322
184.258	0.0758621
185.268	0.0761494
186.324	0.0764511
187.346	0.0767241
188.354	0.0769828
189.359	0.0773563
190.36	0.0776724
191.389	0.0779167
192.412	0.0781178
193.449	0.0782471
194.463	0.0784339
195.476	0.0788362
196.508	0.0791379
197.509	0.0795402
198.528	0.0796264
199.534	0.0797845
200.548	0.0799425
201.635	0.0802155
202.637	0.0805747
203.64	0.0808621
204.644	0.0811063
205.65	0.0815374
206.669	0.0818247
207.671	0.0820259
208.676	0.082227
209.701	0.0824713
210.705	0.0826293
211.705	0.0828161
212.714	0.0830747
213.742	0.0833621
214.747	0.0835632
215.771	0.08375
216.774	0.0838649
217.81	0.0840948
218.813	0.0844253
219.858	0.0845833
220.858	0.0849282
221.904	0.085158
222.91	0.0853448
223.918	0.0856322
224.949	0.0858333
225.97	0.0859914
226.97	0.0861782
227.975	0.086408
228.978	0.0866092
229.982	0.0869828
230.99	0.0872557
232.137	0.0875575
233.146	0.0878736
234.151	0.0881034
235.153	0.0884626
236.155	0.0886925
237.161	0.0889943
238.202	0.0892098
239.21	0.0896121
240.248	0.0897989
241.251	0.0900144
242.302	0.0902155
243.303	0.0904023
244.339	0.0905029
245.407	0.0906466
246.409	0.0908908
247.416	0.0910632
248.529	0.0912356
249.536	0.0915948
250.536	0.0920115
251.537	0.0923132
252.54	0.0924713
253.546	0.0925575
254.551	0.0927586
255.553	0.0929885
256.6	0.093204
257.601	0.0934052
258.619	0.0935776
259.62	0.0936638
260.629	0.0940086
261.63	0.0942098
262.633	0.0944109
263.653	0.094569
264.665	0.0947414
265.685	0.0949569
266.688	0.0952155
267.7	0.0955172
268.702	0.0957328
269.702	0.095977
270.716	0.0961638
271.773	0.0962787
272.794	0.096523
