time	conversion
1.00006	0.00216595
2.00011	0.00340374
3.00025	0.00445833
4.00036	0.00544124
5.0004	0.00632672
6.00041	0.00717945
7.00045	0.00801494
8.00072	0.00884382
9.00078	0.00958534
10.001	0.0103154
11.0021	0.0109948
12.0023	0.0116671
13.0027	0.0123
14.0028	0.0129287
15.003	0.0135114
16.003	0.0141118
17.0036	0.0146812
18.0038	0.0152662
19.0039	0.0158187
20.0039	0.0163523
21.0039	0.0168941
22.0044	0.0173941
23.0046	0.0178905
24.0047	0.0183783
25.0048	0.018852
26.0051	0.0192958
27.0054	0.0197761
28.0058	0.0202352
29.0058	0.020678
30.0058	0.0211455
31.0058	0.0215701
32.0058	0.0219905
33.0059	0.0224368
34.0059	0.0228631
35.0059	0.0232728
36.006	0.0236595
37.006	0.0241001
38.006	0.0245138
39.0061	0.0249116
40.0068	0.0253369
41.0068	0.0257267
42.0069	0.0261231
43.007	0.026521
44.0072	0.0268895
45.0073	0.0272612
46.0074	0.0276468
47.008	0.0280211
48.0081	0.0283766
49.0082	0.0287441
50.0083	0.0290954
51.0084	0.0294478
52.0085	0.029803
53.0091	0.0301427
54.0094	0.0304978
55.0095	0.0308585
56.0095	0.0312089
57.0098	0.031569
58.0101	0.0319102
59.0103	0.0322563
60.0103	0.0325944
61.0103	0.0329193
62.0105	0.0332319
63.0106	0.0335458
64.0106	0.033879
65.0106	0.0341938
66.0115	0.0345272
67.0116	0.0348394
68.0116	0.0351704
69.0116	0.0354842
70.012	0.0358
71.0125	0.0361078
72.0125	0.0364362
73.0125	0.0367481
74.0128	0.037048
75.0132	0.0373723
76.0132	0.0376907
77.0133	0.0380161
78.0133	0.0383167
79.0139	0.0386168
80.0142	0.0389336
81.0142	0.0392099
82.0147	0.039517
83.0152	0.0398194
84.0152	0.0401118
85.0155	0.0404063
86.0155	0.0406746
87.0156	0.0409588
88.0156	0.041244
89.0157	0.0415091
90.0157	0.0417888
91.0158	0.0420753
92.0159	0.0423612
93.016	0.042642
94.016	0.0429226
95.0161	0.0431889
96.0161	0.0434695
97.0162	0.0437461
98.0164	0.0440286
99.0164	0.0443033
100.017	0.0445751
101.017	0.0448547
102.017	0.045127
103.017	0.0453898
104.017	0.04567
105.018	0.0459481
106.018	0.0462187
107.018	0.0464852
108.019	0.0467526
109.019	0.04702
110.019	0.0472849
111.02	0.0475451
112.02	0.0477987
113.02	0.0480625
114.02	0.0483263
115.02	0.048592
116.02	0.0488665
117.02	0.0491223
118.02	0.0493684
119.02	0.0496388
120.021	0.0499016
121.021	0.0501542
122.021	0.0504086
123.021	0.0506885
124.022	0.0509526
125.023	0.0512147
126.023	0.0514741
127.023	0.0517319
128.023	0.05198
129.023	0.0522431
130.023	0.0525083
131.023	0.0527572
132.024	0.0530292
133.024	0.0532914
134.024	0.0535335
135.025	0.0537786
136.025	0.0540204
137.025	0.0542713
138.026	0.0545088
139.026	0.0547527
140.026	0.0549928
141.026	0.0552346
142.026	0.0554792
143.026	0.0557282
144.027	0.0559739
145.028	0.0562082
146.028	0.0564417
147.028	0.0566878
148.028	0.0569274
149.028	0.0571626
150.029	0.0573861
151.029	0.0576233
152.029	0.0578553
153.03	0.0580786
154.03	0.0583147
155.03	0.0585516
156.03	0.0587894
157.03	0.059025
158.031	0.0592585
159.031	0.0594866
160.031	0.0597188
161.032	0.0599533
162.032	0.0601879
163.032	0.0604283
164.032	0.0606675
165.032	0.0608881
166.032	0.0611024
167.033	0.0613136
168.033	0.0615457
169.033	0.0617708
170.033	0.0619843
171.034	0.0621994
172.034	0.0624167
173.034	0.0626313
174.034	0.062849
175.034	0.0630759
176.035	0.0632994
177.035	0.0635128
178.035	0.0637293
179.036	0.0639463
180.036	0.0641539
181.037	0.0643776
182.037	0.0646
183.037	0.0648165
184.038	0.0650299
185.038	0.0652461
186.038	0.0654549
187.039	0.0656624
188.04	0.0658629
189.04	0.0660836
190.04	0.0662907
191.04	0.0665033
192.04	0.0667099
