time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00002 0.00285702 0.00141979 1.81164e-05 6.70977e-07 4.66609 1.74454e-05 
2.0042 0.00285501 0.00141777 2.01293e-05 0 4.66354 2.01293e-05 
3.00797 0.00284964 0.00141241 2.54971e-05 0 4.66101 2.54971e-05 
4.00802 0.00284696 0.00140972 2.8181e-05 1.34195e-06 4.6588 2.68391e-05 
5.0331 0.00284561 0.00140838 2.9523e-05 0 4.65674 2.9523e-05 
6.03554 0.00284293 0.0014057 3.22069e-05 0 4.65514 3.22069e-05 
7.03924 0.0028389 0.00140167 3.62328e-05 0 4.65343 3.62328e-05 
8.03937 0.00283689 0.00139966 3.82457e-05 6.70977e-07 4.65181 3.75747e-05 
9.04032 0.00283622 0.00139899 3.89167e-05 0 4.65043 3.89167e-05 
10.0423 0.00283219 0.00139496 4.29425e-05 0 4.64908 4.29425e-05 
11.0469 0.00282951 0.00139228 4.56264e-05 0 4.64756 4.56264e-05 
12.047 0.00282951 0.00139228 4.56264e-05 0 4.64651 4.56264e-05 
13.0531 0.00282817 0.00139094 4.69684e-05 0 4.64542 4.69684e-05 
14.0603 0.00282817 0.00139094 4.69684e-05 0 4.64424 4.69684e-05 
15.0634 0.00282683 0.00138959 4.83103e-05 0 4.64314 4.83103e-05 
16.0634 0.00282481 0.00138758 5.03233e-05 6.70977e-07 4.64214 4.96523e-05 
17.0652 0.00282548 0.00138825 4.96523e-05 0 4.64109 4.96523e-05 
18.0684 0.0028228 0.00138557 5.23362e-05 0 4.64004 5.23362e-05 
19.075 0.00282012 0.00138288 5.50201e-05 0 4.63892 5.50201e-05 
20.0772 0.00281877 0.00138154 5.63621e-05 0 4.63804 5.63621e-05 
21.078 0.00281743 0.0013802 5.7704e-05 0 4.63699 5.7704e-05 
22.0871 0.00281609 0.00137886 5.9046e-05 0 4.63605 5.9046e-05 
23.0913 0.00281609 0.00137886 5.9046e-05 0 4.63516 5.9046e-05 
24.0926 0.00281609 0.00137886 5.9046e-05 0 4.63435 5.9046e-05 
25.0953 0.00281609 0.00137886 5.9046e-05 0 4.63342 5.9046e-05 
26.1007 0.00281475 0.00137752 6.03879e-05 0 4.63261 6.03879e-05 
27.1094 0.00281341 0.00137617 6.17299e-05 0 4.63164 6.17299e-05 
28.1134 0.00281206 0.00137483 6.30718e-05 0 4.63078 6.30718e-05 
29.1136 0.00281206 0.00137483 6.30718e-05 0 4.62999 6.30718e-05 
30.117 0.00281206 0.00137483 6.30718e-05 0 4.62914 6.30718e-05 
31.1199 0.00281206 0.00137483 6.30718e-05 0 4.62822 6.30718e-05 
32.1207 0.00281072 0.00137349 6.44138e-05 0 4.62739 6.44138e-05 
33.1208 0.00281005 0.00137282 6.50848e-05 6.70977e-07 4.62645 6.44138e-05 
34.1208 0.00280871 0.00137148 6.64267e-05 6.70977e-07 4.6256 6.57557e-05 
35.1208 0.00280938 0.00137215 6.57557e-05 0 4.62486 6.57557e-05 
36.1218 0.00280938 0.00137215 6.57557e-05 0 4.62397 6.57557e-05 
37.1249 0.00280938 0.00137215 6.57557e-05 0 4.62319 6.57557e-05 
38.1264 0.0028067 0.00136946 6.84397e-05 0 4.62234 6.84397e-05 
39.1282 0.0028067 0.00136946 6.84397e-05 0 4.6214 6.84397e-05 
40.129 0.0028067 0.00136946 6.84397e-05 0 4.62068 6.84397e-05 
