time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00013 16949 8380 191 1 6.94438e+06 190 
2.00021 16900 8331 240 2 6.93561e+06 238 
3.00026 16865 8296 275 1 6.9281e+06 274 
4.00043 16828 8259 312 0 6.92165e+06 312 
5.00044 16806 8237 334 0 6.916e+06 334 
6.00045 16766 8197 374 2 6.91063e+06 372 
7.00058 16752 8183 388 0 6.90556e+06 388 
8.00059 16734 8165 406 0 6.90058e+06 406 
9.00076 16719 8150 421 1 6.89588e+06 420 
10.0008 16717 8148 423 1 6.89143e+06 422 
11.0018 16708 8139 432 0 6.88698e+06 432 
12.0018 16704 8135 436 0 6.8825e+06 436 
13.0018 16697 8128 443 1 6.87837e+06 442 
14.0023 16688 8119 452 0 6.87404e+06 452 
15.0024 16676 8107 464 0 6.87012e+06 464 
16.0029 16668 8099 472 0 6.86621e+06 472 
17.0032 16662 8093 478 0 6.86239e+06 478 
18.0033 16652 8083 488 0 6.85844e+06 488 
19.0033 16644 8075 496 0 6.8546e+06 496 
20.0034 16632 8063 508 0 6.85102e+06 508 
21.0035 16627 8058 513 1 6.84744e+06 512 
22.0037 16620 8051 520 0 6.84376e+06 520 
23.0037 16615 8046 525 1 6.84019e+06 524 
24.0038 16606 8037 534 0 6.83668e+06 534 
25.0039 16599 8030 541 1 6.83331e+06 540 
26.0039 16586 8017 554 0 6.82991e+06 554 
27.0039 16579 8010 561 1 6.82669e+06 560 
28.0042 16576 8007 564 0 6.82352e+06 564 
29.0044 16570 8001 570 0 6.82029e+06 570 
30.0046 16559 7990 581 1 6.8172e+06 580 
31.0046 16551 7982 589 1 6.81412e+06 588 
32.0052 16546 7977 594 0 6.811e+06 594 
33.0062 16546 7977 594 0 6.80792e+06 594 
34.0063 16537 7968 603 1 6.80485e+06 602 
35.0064 16538 7969 602 0 6.80185e+06 602 
36.0066 16528 7959 612 0 6.79897e+06 612 
37.0071 16520 7951 620 0 6.79596e+06 620 
38.0072 16514 7945 626 2 6.7931e+06 624 
39.0072 16513 7944 627 1 6.79013e+06 626 
40.0072 16506 7937 634 0 6.78725e+06 634 
