time	conversion
1.0107	0.00211207
2.03893	0.00386494
3.04398	0.00472701
4.06653	0.00556034
5.06888	0.00653736
6.07789	0.00780172
7.10581	0.00837644
8.1532	0.00889368
9.17435	0.00954023
10.1768	0.0100862
11.1853	0.0107615
12.186	0.01125
13.1883	0.0116379
14.2391	0.0121121
15.2461	0.0128305
16.2477	0.0132615
17.2519	0.0138649
18.2636	0.0140805
19.2644	0.0146839
20.2706	0.0151293
21.2805	0.0157328
22.2873	0.0167385
23.3238	0.0172557
24.3263	0.0180172
25.3672	0.0185489
26.3852	0.0190374
27.3905	0.019727
28.3954	0.0204741
29.4237	0.0208621
30.4312	0.0212787
31.4715	0.0215086
32.5317	0.021954
33.5336	0.0223276
34.5341	0.0226437
35.5493	0.0231322
36.6308	0.0234914
37.6883	0.0237787
38.7017	0.0240517
39.7204	0.0244684
40.7218	0.0248563
41.7248	0.0253305
42.8042	0.0257615
43.8066	0.0262356
44.8226	0.026408
45.8949	0.0268966
46.8958	0.0272701
47.907	0.0276149
48.9076	0.0279598
49.9194	0.0284483
50.9245	0.02875
51.9254	0.0290805
52.9464	0.0293103
53.9496	0.0296264
54.9546	0.0299138
55.965	0.0301868
56.9738	0.0303305
58.0022	0.0306609
59.0022	0.03125
60.0074	0.0314368
61.0085	0.0317385
62.0205	0.0321264
63.0206	0.0324138
64.094	0.0325862
65.0995	0.0329167
66.1098	0.0330172
67.11	0.0333046
68.1254	0.0336782
69.1362	0.0338649
70.1396	0.0340948
71.1544	0.0344684
72.1719	0.0349856
73.2035	0.0355316
74.2326	0.0359626
75.3077	0.0364511
76.3243	0.0367529
77.3423	0.0370115
78.3731	0.0372557
79.4384	0.0376437
80.4616	0.0379741
81.4622	0.0382615
82.4736	0.0385776
83.5148	0.0388649
84.5799	0.0392098
85.6023	0.0395402
86.6408	0.0398563
87.6772	0.0402155
88.6775	0.0404167
89.6886	0.0405747
90.6907	0.0409195
91.695	0.0411925
92.7179	0.041408
93.7416	0.0416523
94.7665	0.0420977
95.8117	0.0425144
96.8314	0.0427874
97.8865	0.0430747
98.8873	0.0433908
99.9238	0.0437644
100.982	0.0441236
102.037	0.0445115
103.063	0.0447989
104.07	0.0451006
105.08	0.045431
106.2	0.0459052
107.206	0.0462644
108.207	0.0464368
109.256	0.0466954
110.272	0.0468822
111.282	0.0471839
112.283	0.0473276
113.297	0.0475862
114.321	0.0478879
115.39	0.0483477
116.481	0.0486494
117.538	0.0489368
118.563	0.0492529
119.599	0.0495977
120.6	0.0500144
121.604	0.0505029
122.608	0.0508477
123.661	0.0511782
124.664	0.0514943
125.689	0.0518103
126.689	0.0520977
127.714	0.0524713
128.763	0.0527155
129.813	0.0529454
130.838	0.0531178
131.846	0.053319
132.864	0.0535201
133.87	0.05375
134.93	0.0540661
135.943	0.0542241
136.953	0.0544828
137.955	0.0548132
138.961	0.0551149
140.12	0.0552586
141.238	0.0554598
142.282	0.0555747
143.323	0.0559195
144.334	0.0560776
145.372	0.0563218
146.374	0.056523
147.421	0.0567529
148.431	0.0570115
149.431	0.0571408
150.448	0.0573132
151.45	0.0575
152.459	0.0578879
153.476	0.0581178
154.5	0.0581897
155.524	0.0584339
156.564	0.0586207
157.571	0.0587931
158.604	0.0590374
159.61	0.0592672
160.633	0.0595115
161.661	0.0597126
162.677	0.0599856
163.678	0.0602443
164.714	0.0604885
165.729	0.0606753
166.773	0.0609914
167.783	0.0612069
168.789	0.061408
169.824	0.0615517
170.855	0.0616092
