time	conversion
1.00639	0.00215517
2.01865	0.00349138
3.05372	0.00420977
4.06667	0.00494253
5.20892	0.00616379
6.21068	0.00744253
7.2123	0.00840517
8.23661	0.00928161
9.23685	0.0104885
10.2381	0.0110201
11.2792	0.0119828
12.3284	0.0128017
13.3289	0.0137213
14.3325	0.0144109
15.3957	0.0153879
16.4092	0.016408
17.4101	0.017931
18.4344	0.0187356
19.4635	0.019727
20.4966	0.0203161
21.5014	0.0211207
22.5148	0.0219971
23.5185	0.022931
24.5241	0.0244684
25.5732	0.0256034
26.5745	0.0265086
27.584	0.0270977
28.6097	0.027931
29.6118	0.0286925
30.6121	0.0296264
31.6152	0.030704
32.617	0.0317098
33.6669	0.0324282
34.6722	0.0333908
35.6726	0.0343822
36.677	0.0349282
37.6816	0.0360057
38.6922	0.0368391
39.7051	0.0376149
40.7053	0.038204
41.7091	0.0388218
42.712	0.0394253
43.7201	0.040273
44.7645	0.0409195
45.7916	0.0416236
46.7984	0.0421552
47.8	0.043046
48.8008	0.0438937
49.8025	0.0444971
50.8036	0.0450431
51.81	0.0458333
52.8138	0.0462644
53.8206	0.0466954
54.8315	0.047069
55.835	0.0476868
56.8466	0.0482328
57.854	0.04875
58.859	0.0492529
59.864	0.0495833
60.8656	0.0499282
61.8726	0.0502586
62.8862	0.0506897
63.9555	0.0513362
64.9604	0.0515661
65.9768	0.0519253
67.0283	0.0522557
68.0288	0.0525
69.0391	0.0528879
70.0661	0.0531178
71.091	0.0535632
72.0936	0.0538649
73.1156	0.0543534
74.1175	0.0547126
75.1225	0.0552586
76.1288	0.0556178
77.1428	0.0560057
78.1452	0.0565517
79.152	0.0570115
80.1564	0.0575287
81.1876	0.0578017
82.208	0.0581178
83.2094	0.0584483
84.239	0.0587069
85.2444	0.0589943
86.2467	0.0593822
87.2518	0.0596839
88.2702	0.0601437
89.2734	0.0603305
90.308	0.0605029
91.3153	0.0608477
92.3263	0.0611207
93.3264	0.0614511
94.3396	0.0616667
95.3494	0.0620259
96.3584	0.0624138
97.367	0.0626724
98.3686	0.0628879
99.3824	0.0631466
100.383	0.0634339
101.42	0.0636638
102.427	0.0639511
103.44	0.0643391
104.452	0.0645977
105.461	0.0648276
106.484	0.0652443
107.488	0.0654454
108.512	0.0656897
109.514	0.065977
110.528	0.0662931
111.533	0.066523
112.533	0.0668247
113.612	0.0670115
114.623	0.067342
115.631	0.0676724
116.639	0.0678736
117.64	0.068204
118.644	0.0683333
119.66	0.0686494
120.68	0.0689224
121.72	0.0690374
122.743	0.0693822
123.745	0.0697126
124.752	0.0700287
125.758	0.0703736
126.795	0.0706322
127.795	0.070819
128.81	0.0710632
129.815	0.071408
130.837	0.0716236
131.85	0.0718103
132.855	0.0719971
133.864	0.0723132
134.866	0.0725431
135.868	0.0728305
136.87	0.0731466
137.876	0.0733764
138.881	0.0735057
139.887	0.07375
140.891	0.0740374
141.892	0.0743391
142.901	0.0746695
143.901	0.0748132
144.926	0.0750862
145.937	0.0753305
146.944	0.0756753
147.973	0.0760201
148.981	0.0762213
149.991	0.0765661
150.994	0.0767816
152	0.076954
153.005	0.0771983
154.01	0.0773563
155.012	0.0777586
156.017	0.0779598
157.018	0.0781609
158.032	0.0783477
159.036	0.0786782
160.06	0.0788506
161.062	0.0790805
162.068	0.0792672
163.068	0.0795833
164.093	0.0798563
165.094	0.0801006
166.095	0.080273
167.122	0.0805172
168.128	0.0807471
169.134	0.0810776
170.154	0.0813937
171.171	0.0815517
172.181	0.0816523
173.182	0.0818966
174.183	0.0822557
175.198	0.0825287
176.199	0.0827874
177.206	0.0830029
178.221	0.0831897
179.303	0.083319
180.313	0.0836063
181.315	0.0838649
182.34	0.0840661
183.345	0.0843678
184.403	0.0845259
185.413	0.0846839
186.413	0.0849138
187.416	0.0850862
188.423	0.0853448
189.428	0.0855747
190.447	0.0859626
191.45	0.0862069
192.464	0.0864943
193.516	0.0868103
194.535	0.0869397
195.562	0.0870546
196.589	0.0873132
197.59	0.0875287
198.594	0.0878448
199.607	0.0881034
200.608	0.088319
201.61	0.0885776
202.616	0.0888218
203.623	0.0890086
204.625	0.0891379
205.665	0.089296
206.686	0.0895259
207.723	0.0898132
208.725	0.0900718
209.725	0.0903879
210.737	0.0906178
211.753	0.0908333
212.763	0.0910632
213.769	0.0912213
214.77	0.0914368
215.803	0.0916236
216.831	0.0918534
217.843	0.0920259
218.866	0.0921983
219.874	0.0924569
220.899	0.0925287
221.915	0.0928592
222.918	0.0931034
223.92	0.0934052
224.923	0.0936638
225.935	0.0938793
226.971	0.0941954
227.98	0.094296
228.982	0.0945115
229.982	0.0948276
230.982	0.095
231.989	0.0951868
233.01	0.095431
234.023	0.0955891
235.024	0.0957759
236.03	0.0960489
237.038	0.09625
238.04	0.0966092
239.041	0.0968534
240.041	0.0971121
241.069	0.097227
242.078	0.0973563
243.084	0.0975
244.094	0.097658
245.099	0.0978736
246.107	0.0980316
247.113	0.0981753
248.142	0.098204
249.153	0.0984483
250.164	0.098592
251.164	0.0987931
252.189	0.0989655
253.224	0.0991092
254.249	0.0991667
255.291	0.0992672
256.297	0.0993678
257.314	0.0995402
258.334	0.0997126
259.358	0.0998994
260.366	0.100086
261.37	0.100187
262.373	0.100345
263.39	0.100489
264.392	0.100747
265.412	0.100876
266.418	0.101034
267.489	0.101149
268.494	0.101365
269.502	0.10158
270.505	0.101681
271.525	0.101782
272.53	0.10194
273.541	0.102026
274.606	0.10217
275.628	0.102443
276.652	0.102615
277.661	0.102744
278.687	0.102888
279.689	0.103089
