time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00639 170 85 2 0 69450 2 
2.01865 170 85 2 0 69357 2 
3.05372 170 85 2 0 69307 2 
4.06667 170 85 2 0 69256 2 
5.20892 170 85 2 0 69171 2 
6.21068 170 85 2 0 69082 2 
7.2123 170 85 2 0 69015 2 
8.23661 170 85 2 0 68954 2 
9.23685 169 84 3 1 68870 2 
10.2381 169 84 3 1 68833 2 
11.2792 170 85 2 0 68766 2 
12.3284 170 85 2 0 68709 2 
13.3289 170 85 2 0 68645 2 
14.3325 170 85 2 0 68597 2 
15.3957 170 85 2 0 68529 2 
16.4092 170 85 2 0 68458 2 
17.4101 170 85 2 0 68352 2 
18.4344 170 85 2 0 68296 2 
19.4635 170 85 2 0 68227 2 
20.4966 170 85 2 0 68186 2 
21.5014 169 84 3 1 68130 2 
22.5148 170 85 2 0 68069 2 
23.5185 170 85 2 0 68004 2 
24.5241 170 85 2 0 67897 2 
25.5732 170 85 2 0 67818 2 
26.5745 169 84 3 1 67755 2 
27.584 170 85 2 0 67714 2 
28.6097 170 85 2 0 67656 2 
29.6118 169 84 3 1 67603 2 
30.6121 169 84 3 1 67538 2 
31.6152 169 84 3 1 67463 2 
32.617 168 83 4 2 67393 2 
33.6669 170 85 2 0 67343 2 
34.6722 169 84 3 1 67276 2 
35.6726 169 84 3 1 67207 2 
36.677 169 84 3 1 67169 2 
37.6816 169 84 3 1 67094 2 
38.6922 170 85 2 0 67036 2 
39.7051 170 85 2 0 66982 2 
40.7053 168 83 4 2 66941 2 
41.7091 169 84 3 1 66898 2 
42.712 169 84 3 1 66856 2 
43.7201 169 84 3 1 66797 2 
44.7645 170 85 2 0 66752 2 
45.7916 169 84 3 1 66703 2 
46.7984 170 85 2 0 66666 2 
47.8 169 84 3 1 66604 2 
48.8008 168 83 4 2 66545 2 
49.8025 168 83 4 2 66503 2 
50.8036 167 82 5 3 66465 2 
51.81 166 81 6 4 66410 2 
