time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.56391 18 9 0 0 69600 0 
5.60257 18 9 0 0 69589 0 
7.41947 18 9 0 0 69574 0 
14.3224 18 9 0 0 69569 0 
15.9909 18 9 0 0 69556 0 
23.4219 18 9 0 0 69550 0 
27.001 18 9 0 0 69545 0 
34.7415 18 9 0 0 69541 0 
35.9198 18 9 0 0 69530 0 
37.663 18 9 0 0 69529 0 
39.9694 18 9 0 0 69528 0 
42.2923 18 9 0 0 69521 0 
43.5072 18 9 0 0 69510 0 
45.687 18 9 0 0 69510 0 
48.0398 18 9 0 0 69508 0 
49.5787 18 9 0 0 69505 0 
54.0058 18 9 0 0 69505 0 
55.9982 18 9 0 0 69497 0 
59.3448 18 9 0 0 69492 0 
63.9229 18 9 0 0 69490 0 
66.1386 18 9 0 0 69484 0 
67.7607 18 9 0 0 69484 0 
69.5241 18 9 0 0 69469 0 
74.2744 18 9 0 0 69458 0 
77.1982 18 9 0 0 69456 0 
79.8127 18 9 0 0 69437 0 
89.6164 18 9 0 0 69411 0 
93.692 18 9 0 0 69409 0 
98.2846 18 9 0 0 69409 0 
99.4415 18 9 0 0 69408 0 
102.066 18 9 0 0 69399 0 
105.384 18 9 0 0 69394 0 
109.635 18 9 0 0 69393 0 
110.856 18 9 0 0 69389 0 
114.292 18 9 0 0 69373 0 
116.226 18 9 0 0 69368 0 
117.715 18 9 0 0 69364 0 
119.574 18 9 0 0 69349 0 
121.619 18 9 0 0 69333 0 
125.208 18 9 0 0 69333 0 
128.018 18 9 0 0 69329 0 
130.169 18 9 0 0 69323 0 
131.421 18 9 0 0 69323 0 
134.042 18 9 0 0 69302 0 
136.195 18 9 0 0 69283 0 
140.249 18 9 0 0 69283 0 
143.275 18 9 0 0 69278 0 
152.648 18 9 0 0 69277 0 
155.642 18 9 0 0 69276 0 
157.772 18 9 0 0 69269 0 
160.333 18 9 0 0 69264 0 
162.287 18 9 0 0 69259 0 
